country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,,,,,,,,,,,,92.8,102,116,139,143,62.1,60,57.9,60.1,62.2,60,61.7,64.6,53.3,61.8,59.6,57.8,56.3,54.6,54.2,55.5,54.5,53,51.6,50.1,51.9,70.3,74.3,72.8,76.2,83.6,87,96.8,88.3,110,146,134,173,190,207,207,219,279,310,,,,,
Albania,,,,,,,,,,,,532,568,593,591,739,909,1070,1100,1070,1140,1120,1100,1070,1020,796,1420,1160,1010,1020,552,418,454,536,596,664,904,695,735,1410,1450,1350,1580,1470,1800,1720,1220,1210,1620,1840,1940,2210,2120,2530,2310,,,,,
UAE,,,,,,,,,,,,564,1130,1540,1790,2350,2930,3870,4330,5090,5770,6100,7110,7630,7830,8100,8120,8070,8210,7940,8190,7870,8040,8900,9280,9330,9300,9410,10.4k,11.1k,11k,10.8k,11k,10.9k,11k,12.1k,12.4k,12.6k,12.7k,12.5k,13.2k,13k,12.9k,12.8k,12.7k,,,,,
Argentina,,,,,,,,,,,,875,926,963,993,1010,1030,1080,1090,1210,1240,1190,1200,1250,1300,1280,1330,1410,1450,1320,1300,1340,1400,1490,1570,1640,1720,1830,1950,2020,2070,2100,2000,2160,2270,2390,2350,2440,2750,2710,2840,2900,2970,2940,3050,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710,2610,1890,1160,1020,1020,1180,1460,1270,1280,1240,1210,1170,1250,1370,1440,1550,1670,1570,1560,1630,1720,1800,1850,1900,,,,,
Australia,1830,1950,2010,2210,2420,2630,2770,2970,3100,3330,3610,3750,3880,4230,4580,4780,4900,5250,5420,5670,5920,6150,6390,6360,6680,6990,7310,7530,7800,8130,8530,8520,8560,8720,8840,9030,9150,9340,9840,10.1k,10.3k,10.7k,10.9k,10.5k,10.7k,10.6k,10.6k,11k,10.7k,10.8k,10.7k,10.6k,10.4k,10.2k,10.1k,,,,,
Austria,1810,1880,2010,2120,2230,2310,2380,2450,2610,2810,3020,3210,3400,3620,3770,3730,4070,4140,4340,4540,4680,4700,4730,4830,5070,5280,5320,5540,5720,5900,6110,6350,6230,6140,6210,6340,6610,6620,6710,6970,7080,7330,7430,7700,7810,7980,8240,8210,8230,7940,8380,8430,8550,8510,8360,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570,2630,2280,2120,1960,1950,1850,1810,1940,2020,2040,2110,2000,2240,2280,2390,2550,2120,2040,1620,1600,1710,2050,2090,2200,,,,,
Belgium,1580,1630,1750,1880,2060,2160,2260,2360,2600,2830,3030,3220,3610,3940,4130,3890,4250,4400,4620,4910,4890,4910,4900,5040,5290,5500,5620,5880,6060,6210,6380,6660,6850,6880,7180,7380,7530,7700,7910,7940,8250,8270,8310,8410,8580,8510,8680,8610,8520,7900,8390,8030,7990,7990,7710,,,,,
Benin,,,,,,,,,,,,10.2,11.2,17.7,16.1,17.1,18.4,20.1,43.8,23.6,26.2,30.2,16.6,34.6,30.6,31.5,29.3,29.1,34,31.8,32.9,34.7,36.8,36.8,36.9,39.7,42.4,45.7,42.7,49.4,55.3,58.4,64.9,61.4,66.8,69.9,71,75.3,81.4,82.7,89.6,85.8,87.1,90.4,93.5,,,,,
Bangladesh,,,,,,,,,,,,10.1,9.91,14.1,15.5,15.6,15.8,16.7,19.7,19.3,17.3,20.7,23.4,26.6,29.3,30.3,34.4,35.9,38.9,46.5,46,46.8,56.3,62.8,66.6,73.5,77.2,79.1,84.1,92.1,99.3,109,117,124,158,169,190,199,200,219,240,258,276,295,313,,,,,
Bulgaria,,,,,,,,,,,,2290,2490,2680,2840,3040,3250,3440,3650,3770,3970,4130,4400,4580,4770,4680,4650,4840,4940,4960,4760,4360,3740,3810,3830,4210,4350,3970,3930,3610,3670,3860,3850,4000,3970,4170,4370,4520,4670,4480,4560,4860,4760,4640,4710,,,,,
Bahrain,,,,,,,,,,,,1860,1860,1960,2140,2470,3020,3550,3690,4290,4620,4860,5190,5530,15k,15.5k,16k,14.3k,14.9k,14.9k,15k,14.4k,18.7k,21.9k,20.7k,20.7k,20.8k,21.3k,21.6k,21.2k,20.9k,21.2k,20.7k,20.1k,19.1k,21.3k,21.5k,20.5k,18.7k,17.6k,18.2k,19.2k,19.2k,19.6k,19.9k,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2060,1110,739,945,989,1090,1290,1620,1660,1830,1860,1880,2010,2110,2200,2210,2230,2840,2780,3070,3270,3420,3410,3370,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380,4430,3910,3450,3070,2790,2810,2950,3020,3010,3000,3010,3000,3060,3170,3250,3370,3390,3480,3300,3570,3630,3700,3660,3690,,,,,
Bolivia,,,,,,,,,,,,162,170,169,177,185,194,210,221,230,246,257,256,245,243,236,226,225,237,248,256,270,280,302,322,340,359,377,395,408,407,408,422,430,441,470,500,532,521,539,589,621,646,687,733,,,,,
Brazil,,,,,,,,,,,,459,498,553,603,649,719,787,857,938,1010,1020,1050,1110,1210,1280,1350,1370,1420,1450,1460,1490,1490,1540,1570,1640,1690,1770,1820,1840,1910,1760,1820,1890,1970,2030,2090,2190,2250,2220,2400,2460,2530,2600,2660,,,,,
Brunei,,,,,,,,,,,,1730,1670,1590,1570,1510,1460,1410,1370,1320,1760,2360,2740,3190,3390,3350,3280,4260,4350,4360,4380,4540,4890,5360,5680,6510,6970,7790,7920,7530,7700,7330,7520,8720,8760,8610,8560,8710,8630,8820,8730,8660,9090,9710,10.1k,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,563,598,596,610,633,721,816,699,715,758,843,914,908,946,917,943,1010,1080,1050,1130,1200,1250,1330,1450,1430,1460,1510,1520,1710,1530,1460,1700,2050,1750,,,,,
Canada,5630,5610,5790,5970,6470,6910,7360,7630,8030,8530,8960,9170,9800,10.2k,10.8k,10.5k,11.1k,11.8k,12.3k,12.4k,12.8k,13.2k,13k,13.5k,14.3k,14.9k,15.4k,15.8k,16.4k,16.5k,16.2k,16.2k,16.2k,16.3k,16.4k,16.5k,16.6k,16.7k,16.4k,16.7k,17k,16.8k,17k,17.2k,17.3k,16.9k,16.5k,16.7k,16.4k,15.5k,15.3k,15.6k,15.3k,15.8k,15.6k,,,,,
